Title,Date,Year,Month,Month_Name,Day,Weekday,Series,Episode
División Palermo: Temporada 2: Todos en cuero,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: Todos en cuero
División Palermo: Temporada 2: El último sacrificio,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: El último sacrificio
División Palermo: Temporada 2: Palermo de rehén,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: Palermo de rehén
División Palermo: Temporada 2: ¿Hay un nosotros?,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: ¿Hay un nosotros?
División Palermo: Temporada 2: Operación Flat White,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: Operación Flat White
División Palermo: Temporada 2: Felipe 2.0,2025-07-26,2025,7,July,26,Saturday,División Palermo,Temporada 2: Felipe 2.0
Fiasco total: El niño del globo,2025-07-21,2025,7,July,21,Monday,Fiasco total,El niño del globo
Fiasco total: El verdadero Proyecto X,2025-07-10,2025,7,July,10,Thursday,Fiasco total,El verdadero Proyecto X
Narcos: Temporada 1: Descenso,2025-07-01,2025,7,July,1,Tuesday,Narcos,Temporada 1: Descenso
Narcos: Temporada 1: Llorarás lágrimas de sangre,2025-07-01,2025,7,July,1,Tuesday,Narcos,Temporada 1: Llorarás lágrimas de sangre
Polo: Temporada 1: Prioridades,2025-06-29,2025,6,June,29,Sunday,Polo,Temporada 1: Prioridades
Polo: Temporada 1: Concentración,2025-06-28,2025,6,June,28,Saturday,Polo,Temporada 1: Concentración
Polo: Temporada 1: Presión,2025-06-28,2025,6,June,28,Saturday,Polo,Temporada 1: Presión
Las mil muertes de Nora Dalmasso: Miniserie: El juicio,2025-06-22,2025,6,June,22,Sunday,Las mil muertes de Nora Dalmasso,Miniserie: El juicio
Las mil muertes de Nora Dalmasso: Miniserie: Los acusados,2025-06-22,2025,6,June,22,Sunday,Las mil muertes de Nora Dalmasso,Miniserie: Los acusados
Las mil muertes de Nora Dalmasso: Miniserie: El crimen,2025-06-22,2025,6,June,22,Sunday,Las mil muertes de Nora Dalmasso,Miniserie: El crimen
Fiasco total: La tragedia de Astroworld,2025-06-18,2025,6,June,18,Wednesday,Fiasco total,La tragedia de Astroworld
El caso Air Cocaine: Traficantes de altura: Miniserie: Episodio 3,2025-06-13,2025,6,June,13,Friday,El caso Air Cocaine,Traficantes de altura: Miniserie: Episodio 3
El caso Air Cocaine: Traficantes de altura: Miniserie: Episodio 2,2025-06-13,2025,6,June,13,Friday,El caso Air Cocaine,Traficantes de altura: Miniserie: Episodio 2
El caso Air Cocaine: Traficantes de altura: Miniserie: Episodio 1,2025-06-13,2025,6,June,13,Friday,El caso Air Cocaine,Traficantes de altura: Miniserie: Episodio 1
Sirenas: Miniserie: Exilio,2025-05-24,2025,5,May,24,Saturday,Sirenas,Miniserie: Exilio
Legado: Temporada 1: Decide,2025-05-19,2025,5,May,19,Monday,Legado,Temporada 1: Decide
Legado: Temporada 1: Fight,2025-05-19,2025,5,May,19,Monday,Legado,Temporada 1: Fight
Legado: Temporada 1: Return,2025-05-19,2025,5,May,19,Monday,Legado,Temporada 1: Return
Estragos,2025-05-18,2025,5,May,18,Sunday,Estragos,
La locura: Miniserie: Piloto,2025-05-18,2025,5,May,18,Sunday,La locura,Miniserie: Piloto
El Eternauta: Temporada 1: Jugo de tomate frío,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: Jugo de tomate frío
El Eternauta: Temporada 1: Paisaje,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: Paisaje
El Eternauta: Temporada 1: Credo,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: Credo
El Eternauta: Temporada 1: El magnetismo,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: El magnetismo
El Eternauta: Temporada 1: Salgan al sol,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: Salgan al sol
El Eternauta: Temporada 1: Noche de truco,2025-05-06,2025,5,May,6,Tuesday,El Eternauta,Temporada 1: Noche de truco
Sin límites,2025-05-01,2025,5,May,1,Thursday,Sin límites,
Black Mirror: Temporada 6: Loch Henry,2025-05-01,2025,5,May,1,Thursday,Black Mirror,Temporada 6: Loch Henry
Datsuryoku News Network: Temporada 1: Episodio 1,2025-05-01,2025,5,May,1,Thursday,Datsuryoku News Network,Temporada 1: Episodio 1
Black Mirror: Temporada 7: USS Callister: Infinito,2025-04-23,2025,4,April,23,Wednesday,Black Mirror,Temporada 7: USS Callister: Infinito
Black Mirror: Temporada 7: Apología,2025-04-22,2025,4,April,22,Tuesday,Black Mirror,Temporada 7: Apología
Black Mirror: Temporada 7: Juego,2025-04-19,2025,4,April,19,Saturday,Black Mirror,Temporada 7: Juego
Black Mirror: Temporada 7: Hotel Reverie,2025-04-19,2025,4,April,19,Saturday,Black Mirror,Temporada 7: Hotel Reverie
Black Mirror: Temporada 7: Bête Noire,2025-04-19,2025,4,April,19,Saturday,Black Mirror,Temporada 7: Bête Noire
El agente nocturno: Temporada 2: Remordimiento del comprador,2025-04-05,2025,4,April,5,Saturday,El agente nocturno,Temporada 2: Remordimiento del comprador
El agente nocturno: Temporada 2: Intercambio cultural,2025-04-05,2025,4,April,5,Saturday,El agente nocturno,Temporada 2: Intercambio cultural
El agente nocturno: Temporada 2: Divergencia,2025-04-05,2025,4,April,5,Saturday,El agente nocturno,Temporada 2: Divergencia
El agente nocturno: Temporada 2: Rabia,2025-04-05,2025,4,April,5,Saturday,El agente nocturno,Temporada 2: Rabia
Million Dollar Secret: Temporada 1: Un millón en un instante,2025-03-28,2025,3,March,28,Friday,Million Dollar Secret,Temporada 1: Un millón en un instante
La residencia: Temporada 1: El misterio del cuarto amarillo,2025-03-28,2025,3,March,28,Friday,La residencia,Temporada 1: El misterio del cuarto amarillo
La residencia: Temporada 1: El dedo pulgar del ingeniero,2025-03-25,2025,3,March,25,Tuesday,La residencia,Temporada 1: El dedo pulgar del ingeniero
La residencia: Temporada 1: El tercer hombre,2025-03-25,2025,3,March,25,Tuesday,La residencia,Temporada 1: El tercer hombre
La residencia: Temporada 1: Harry el sucio,2025-03-25,2025,3,March,25,Tuesday,La residencia,Temporada 1: Harry el sucio
La residencia: Temporada 1: El aliento perdido,2025-03-25,2025,3,March,25,Tuesday,La residencia,Temporada 1: El aliento perdido
El agente nocturno: Temporada 2: Un buen agente,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Un buen agente
El agente nocturno: Temporada 2: Un asunto familiar,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Un asunto familiar
El agente nocturno: Temporada 2: Medidas desesperadas,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Medidas desesperadas
El agente nocturno: Temporada 2: Propiedad del Gobierno,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Propiedad del Gobierno
El agente nocturno: Temporada 2: Desconexión,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Desconexión
El agente nocturno: Temporada 2: Rastreo de llamadas,2025-03-22,2025,3,March,22,Saturday,El agente nocturno,Temporada 2: Rastreo de llamadas
Estado eléctrico,2025-03-18,2025,3,March,18,Tuesday,Estado eléctrico,
La ley de los audaces: Temporada 1: Juicio falso,2025-03-13,2025,3,March,13,Thursday,La ley de los audaces,Temporada 1: Juicio falso
La ley de los audaces: Temporada 1: Transacciones ilícitas,2025-03-13,2025,3,March,13,Thursday,La ley de los audaces,Temporada 1: Transacciones ilícitas
El novato: Temporada 2: Q.T.D.E.M.A.U.A.,2025-03-09,2025,3,March,9,Sunday,El novato,Temporada 2: Q.T.D.E.M.A.U.A.
El novato: Temporada 2: U.E.C.U.C.E.E.P.D.P.,2025-03-09,2025,3,March,9,Sunday,El novato,Temporada 2: U.E.C.U.C.E.E.P.D.P.
El novato: Temporada 2: N.E.U.H.E.U.A.,2025-03-08,2025,3,March,8,Saturday,El novato,Temporada 2: N.E.U.H.E.U.A.
"Envidiosa: Temporada 2: Quien dice el doble, dice el triple",2025-03-08,2025,3,March,8,Saturday,Envidiosa,"Temporada 2: Quien dice el doble, dice el triple"
Entrevías: Temporada 4: Episodio 8,2025-02-25,2025,2,February,25,Tuesday,Entrevías,Temporada 4: Episodio 8
Entrevías: Temporada 4: Episodio 7,2025-02-25,2025,2,February,25,Tuesday,Entrevías,Temporada 4: Episodio 7
Entrevías: Temporada 4: Episodio 6,2025-02-24,2025,2,February,24,Monday,Entrevías,Temporada 4: Episodio 6
Entrevías: Temporada 4: Episodio 5,2025-02-24,2025,2,February,24,Monday,Entrevías,Temporada 4: Episodio 5
Entrevías: Temporada 4: Episodio 4,2025-02-24,2025,2,February,24,Monday,Entrevías,Temporada 4: Episodio 4
Entrevías: Temporada 4: Episodio 3,2025-02-24,2025,2,February,24,Monday,Entrevías,Temporada 4: Episodio 3
Predestinación,2025-02-24,2025,2,February,24,Monday,Predestinación,
La 31.ª edición de los Premios del Sindicato de Actores de EE. UU.,2025-02-24,2025,2,February,24,Monday,La 31.ª edición de los Premios del Sindicato de Actores de EE. UU.,
Día cero: Miniserie: Episodio 6,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 6
Día cero: Miniserie: Episodio 5,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 5
Día cero: Miniserie: Episodio 4,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 4
Día cero: Miniserie: Episodio 3,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 3
Día cero: Miniserie: Episodio 2,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 2
Día cero: Miniserie: Episodio 1,2025-02-22,2025,2,February,22,Saturday,Día cero,Miniserie: Episodio 1
Entrevías: Temporada 4: Episodio 2,2025-02-21,2025,2,February,21,Friday,Entrevías,Temporada 4: Episodio 2
Entrevías: Temporada 4: Episodio 1,2025-02-21,2025,2,February,21,Friday,Entrevías,Temporada 4: Episodio 1
Entrevías: Temporada 3: El cielo de Entrevías,2025-02-21,2025,2,February,21,Friday,Entrevías,Temporada 3: El cielo de Entrevías
Entrevías: Temporada 3: Un buen muchacho,2025-02-21,2025,2,February,21,Friday,Entrevías,Temporada 3: Un buen muchacho
Entrevías: Temporada 3: Lo que dicta la conciencia,2025-02-20,2025,2,February,20,Thursday,Entrevías,Temporada 3: Lo que dicta la conciencia
Entrevías: Temporada 3: Segundas oportunidades,2025-02-18,2025,2,February,18,Tuesday,Entrevías,Temporada 3: Segundas oportunidades
